COUNTY,Date,CASE_STATUS,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated
Alger,5/28/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/29/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/30/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/31/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/1/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/2/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/3/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/4/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/5/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/6/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/7/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,6/8/20,Confirmed,1,0,1,0,2020/08/01 12:26:06
Alger,6/9/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/10/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/11/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/12/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/13/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/14/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/15/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/16/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Alger,6/17/20,Confirmed,1,0,2,0,2020/08/01 12:26:06
Alger,6/18/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/19/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/20/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/21/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/22/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/23/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/24/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/25/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/26/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Alger,6/27/20,Confirmed,1,0,3,0,2020/08/01 12:26:06
Alger,6/28/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,6/29/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,6/30/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/1/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/2/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/3/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/4/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/5/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/6/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/7/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/8/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/9/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/10/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/11/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/12/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/13/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/14/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/15/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/16/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/17/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/18/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/19/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/20/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/21/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/22/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/23/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/24/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/25/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/26/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/27/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/28/20,Confirmed,0,0,3,0,2020/08/01 12:26:06
Alger,7/29/20,Confirmed,2,0,5,0,2020/08/01 12:26:06
Alger,7/30/20,Confirmed,0,0,5,0,2020/08/01 12:26:06
Alger,7/31/20,Confirmed,1,0,6,0,2020/08/01 12:26:06
Alger,8/1/20,Confirmed,0,0,6,0,2020/08/01 12:26:06
Allegan,3/1/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/2/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/3/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/4/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/5/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/6/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/7/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/8/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/9/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/10/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/11/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/12/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/13/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/14/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Allegan,3/15/20,Confirmed,1,0,1,0,2020/08/01 12:26:06
Allegan,3/16/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Allegan,3/17/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Allegan,3/18/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Allegan,3/19/20,Confirmed,0,0,1,0,2020/08/01 12:26:06
Allegan,3/20/20,Confirmed,1,0,2,0,2020/08/01 12:26:06
Allegan,3/21/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Allegan,3/22/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Allegan,3/23/20,Confirmed,0,0,2,0,2020/08/01 12:26:06
Allegan,3/24/20,Confirmed,1,0,3,0,2020/08/01 12:26:06
Allegan,3/25/20,Confirmed,3,0,6,0,2020/08/01 12:26:06
Allegan,3/26/20,Confirmed,0,0,6,0,2020/08/01 12:26:06
Allegan,3/27/20,Confirmed,5,0,11,0,2020/08/01 12:26:06
Allegan,3/28/20,Confirmed,1,0,12,0,2020/08/01 12:26:06
Allegan,3/29/20,Confirmed,0,0,12,0,2020/08/01 12:26:06
Allegan,3/30/20,Confirmed,3,0,15,0,2020/08/01 12:26:06
Allegan,3/31/20,Confirmed,1,0,16,0,2020/08/01 12:26:06
Allegan,4/1/20,Confirmed,1,0,17,0,2020/08/01 12:26:06
Allegan,4/2/20,Confirmed,2,0,19,0,2020/08/01 12:26:06
Allegan,4/3/20,Confirmed,4,0,23,0,2020/08/01 12:26:06
Allegan,4/4/20,Confirmed,2,0,25,0,2020/08/01 12:26:06
Allegan,4/5/20,Confirmed,0,0,25,0,2020/08/01 12:26:06
Allegan,4/6/20,Confirmed,1,0,26,0,2020/08/01 12:26:06
Allegan,4/7/20,Confirmed,0,0,26,0,2020/08/01 12:26:06
Allegan,4/8/20,Confirmed,1,0,27,0,2020/08/01 12:26:06
Allegan,4/9/20,Confirmed,0,0,27,0,2020/08/01 12:26:06
Allegan,4/10/20,Confirmed,7,0,34,0,2020/08/01 12:26:06
Allegan,4/11/20,Confirmed,1,0,35,0,2020/08/01 12:26:06
Allegan,4/12/20,Confirmed,3,0,38,0,2020/08/01 12:26:06
Allegan,4/13/20,Confirmed,4,0,42,0,2020/08/01 12:26:06
Allegan,4/14/20,Confirmed,2,0,44,0,2020/08/01 12:26:06
Allegan,4/15/20,Confirmed,4,0,48,0,2020/08/01 12:26:06
Allegan,4/16/20,Confirmed,7,0,55,0,2020/08/01 12:26:06
Allegan,4/17/20,Confirmed,3,0,58,0,2020/08/01 12:26:06
Allegan,4/18/20,Confirmed,5,0,63,0,2020/08/01 12:26:06
Allegan,4/19/20,Confirmed,4,0,67,0,2020/08/01 12:26:06
Allegan,4/20/20,Confirmed,5,0,72,0,2020/08/01 12:26:06
Allegan,4/21/20,Confirmed,9,0,81,0,2020/08/01 12:26:06
Allegan,4/22/20,Confirmed,3,0,84,0,2020/08/01 12:26:06
